tau_sat,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30
100.0,0.25,100.0,3.333e-05,1.0,0.2,1.322e-15,441.24,487.23,495.57,499.31,502.42,505.48,508.53,511.47,514.43,517.41,520.34,523.29,526.05,529.12,532.23,534.88,538.06,540.91,543.71,546.51,549.27,551.95,554.73,557.46,560.08,562.82,565.48,567.57,570.56
100.0,0.25,100.0,3.333e-05,2.0,0.2,-1.7626e-15,393.78,402.98,405.61,408.02,410.41,412.79,415.15,417.51,419.86,422.2,424.52,426.83,429.13,431.42,433.71,435.97,438.23,440.48,442.72,444.95,447.16,449.37,451.57,453.76,455.93,458.09,460.24,462.39,464.53
100.0,0.25,100.0,3.333e-05,4.0,0.2,2.2033e-15,351.67,354.8,356.82,358.78,360.75,362.69,364.64,366.57,368.5,370.43,372.35,374.26,376.17,378.07,379.97,381.85,383.74,385.62,387.49,389.36,391.22,393.08,394.92,396.76,398.6,400.43,402.26,404.07,405.88
100.0,0.25,100.0,3.333e-05,8.0,0.2,-1.5423e-15,325.67,327.91,329.77,331.56,333.36,335.15,336.94,338.73,340.53,342.32,344.1,345.89,347.67,349.45,351.23,353.0,354.77,356.53,358.28,360.04,361.79,363.53,365.28,367.01,368.74,370.47,372.19,373.9,375.62
100.0,0.25,100.0,3.333e-05,16.0,0.2,-4.4066e-16,312.23,314.51,316.4,318.18,319.94,321.7,323.46,325.21,326.95,328.68,330.41,332.14,333.87,335.61,337.35,339.09,340.82,342.54,344.27,346.01,347.74,349.46,351.16,352.87,354.57,356.25,357.93,359.61,361.27
100.0,0.25,100.0,3.333e-05,32.0,0.2,-6.3896e-15,305.65,308.03,309.94,311.74,313.5,315.23,316.96,318.68,320.38,322.08,323.77,325.48,327.18,328.89,330.59,332.32,334.05,335.77,337.51,339.23,340.96,342.67,344.38,346.06,347.73,349.39,351.05,352.69,354.33
100.0,0.5,100.0,3.333e-05,1.0,0.2,-2.2033e-15,442.32,491.28,502.46,509.01,515.08,520.95,526.74,532.55,538.18,543.81,548.9,554.62,559.92,565.31,570.58,575.75,580.85,585.92,590.87,595.62,600.59,605.41,610.16,614.78,619.47,624.0,628.46,632.96,637.35
100.0,0.5,100.0,3.333e-05,2.0,0.2,-1.322e-15,394.94,406.4,411.27,415.88,420.43,424.93,429.39,433.79,438.16,442.48,446.74,450.97,455.16,459.3,463.39,467.45,471.46,475.43,479.35,483.24,487.08,490.89,494.66,498.38,502.07,505.72,509.33,512.9,516.44
100.0,0.5,100.0,3.333e-05,4.0,0.2,-5.9489e-15,352.84,357.83,361.68,365.44,369.16,372.86,376.52,380.14,383.74,387.29,390.82,394.32,397.79,401.22,404.63,408.01,411.35,414.68,417.96,421.22,424.45,427.65,430.83,433.97,437.09,440.18,443.24,446.28,449.29
100.0,0.5,100.0,3.333e-05,8.0,0.2,1.1016e-15,326.83,330.74,334.24,337.68,341.07,344.44,347.78,351.11,354.42,357.7,360.96,364.18,367.39,370.57,373.73,376.86,379.96,383.04,386.11,389.14,392.15,395.13,398.09,401.04,403.94,406.83,409.71,412.54,415.37
100.0,0.5,100.0,3.333e-05,16.0,0.2,-1.7626e-15,313.37,317.25,320.73,324.07,327.37,330.64,333.89,337.11,340.3,343.46,346.6,349.72,352.82,355.9,358.97,362.0,365.02,368.02,371.0,373.96,376.9,379.81,382.7,385.56,388.4,391.21,393.98,396.74,399.48
100.0,0.5,100.0,3.333e-05,32.0,0.2,-5.9489e-15,306.78,310.73,314.2,317.53,320.79,324.01,327.21,330.36,333.49,336.58,339.66,342.72,345.76,348.78,351.79,354.78,357.78,360.75,363.71,366.64,369.55,372.44,375.3,378.12,380.92,383.67,386.4,389.11,391.79
100.0,1.0,100.0,3.333e-05,1.0,0.2,1.7626e-15,444.24,498.33,515.24,527.5,538.82,549.84,560.46,570.86,580.98,590.99,600.71,610.07,619.4,628.41,637.18,645.8,654.06,662.24,669.73,677.69,685.3,692.68,699.9,706.91,713.62,720.16,726.68,732.51,738.93
