tau_s,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25
1,0.1,100,3.33e-05,1,10905.1903,0.0070664,0.013619,0.02686,0.02686,0.033502,0.040176,0.053675,0.053675,0.067317,0.067317,0.08111,0.08111,0.095012,0.095012,0.10913,0.10913,0.12344,0.13063,0.13787,0.14516,0.1525,0.1525,0.16745,0.16745,0.18256
500,0.1,100,3.33e-05,1,16777.2159,0.013415,0.026054,0.026054,0.038532,0.050863,0.06306,0.075132,0.075132,0.087086,0.098924,0.11064,0.12224,0.12224,0.1337,0.14503,0.15623,0.16727,0.16727,0.17818,0.18894,0.19956,0.21004,0.21004,0.23006,0.23006
1000,0.1,100,3.33e-05,1,18035.5071,0.013223,0.025342,0.037097,0.037097,0.048529,0.059674,0.070558,0.081207,0.091639,0.10187,0.10187,0.11192,0.13114,0.13114,0.13114,0.14917,0.14917,0.16581,0.16581,0.18124,0.18124,0.18124,0.19563,0.20258,0.20599
1500,0.1,100,3.33e-05,1,18454.9375,0.013043,0.024706,0.035857,0.046569,0.046569,0.0569,0.066896,0.08572,0.08572,0.08572,0.10331,0.10331,0.11952,0.11952,0.13435,0.13435,0.13435,0.14798,0.14798,0.16064,0.16064,0.17249,0.17249,0.18365,0.18365
2000,0.1,100,3.33e-05,1,20971.5199,0.012873,0.024132,0.034768,0.044885,0.063495,0.063495,0.080677,0.080677,0.096467,0.096467,0.11092,0.11092,0.12418,0.12418,0.13643,0.13643,0.14784,0.14784,0.15856,0.15856,0.1687,0.1687,0.17833,0.17833,0.18304
1500,0.1,100,3.33e-05,2,109051.9039,0.018084,0.033311,0.042602,0.051375,0.067657,0.075275,0.082601,0.089666,0.096498,0.10958,0.11595,0.12826,0.13422,0.14007,0.15143,0.15696,0.16239,0.16773,0.17834,0.18903,0.18903,0.19964,0.19964,0.20994,0.21742
2000,0.1,100,3.33e-05,2,114085.0687,0.01226,0.031513,0.039999,0.047915,0.055355,0.068835,0.081345,0.087354,0.093155,0.1042,0.1042,0.11472,0.12481,0.13455,0.13455,0.14392,0.15297,0.15297,0.16176,0.17024,0.17024,0.17838,0.18619,0.18619,0.19369
1000,0.1,100,3.33e-05,2,62075.6991,0.0068288,0.012848,0.024257,0.03511,0.045495,0.045495,0.055494,0.065195,0.069958,0.079267,0.083821,0.092747,0.097124,0.10572,0.10995,0.11838,0.12255,0.13077,0.13483,0.14297,0.15108,0.15108,0.15912,0.16703,0.17092
1,0.1,100,3.33e-05,2,34812.7231,0.0070117,0.013558,0.013558,0.020168,0.026846,0.033593,0.040414,0.047313,0.047313,0.054294,0.061361,0.068523,0.075786,0.083165,0.083165,0.094479,0.098303,0.10606,0.11399,0.11803,0.12631,0.13506,0.13961,0.14918,0.15659
500,0.1,100,3.33e-05,2,51589.9391,0.0069179,0.013185,0.025482,0.031552,0.037562,0.043518,0.055279,0.061091,0.066862,0.072595,0.083961,0.089602,0.095218,0.10081,0.1064,0.11753,0.12309,0.12866,0.13425,0.14555,0.15131,0.15713,0.16298,0.1746,0.1789
2000,0.1,100,3.33e-05,3,577136.2303,0.021338,0.02958,0.043817,0.055965,0.06666,0.071586,0.080645,0.089146,0.097019,0.10082,0.1081,0.11498,0.11829,0.12467,0.13082,0.13678,0.14258,0.14258,0.14832,0.15396,0.15943,0.16471,0.1698,0.17469,0.17709
1000,0.1,100,3.33e-05,3,224814.6943,0.0068966,0.018579,0.024075,0.029374,0.034494,0.044171,0.048861,0.057879,0.062225,0.07063,0.074744,0.078785,0.082757,0.090522,0.094325,0.098084,0.1055,0.10917,0.11284,0.12025,0.12405,0.12793,0.13571,0.13952,0.14508
1500,0.1,100,3.33e-05,3,261724.5695,0.012421,0.022511,0.022511,0.03166,0.040106,0.044159,0.051848,0.055508,0.06251,0.069137,0.072326,0.07544,0.081509,0.087394,0.090256,0.095831,0.10122,0.10385,0.10909,0.11446,0.11446,0.1202,0.12577,0.12845,0.13365
1,0.1,100,3.33e-05,3,83886.0799,0.0038531,0.007178,0.013945,0.013945,0.020817,0.020817,0.027808,0.027808,0.03494,0.03494,0.038532,0.042162,0.045832,0.049548,0.053317,0.057152,0.061086,0.065072,0.069149,0.07335,0.077776,0.082413,0.087338,0.092696,0.098795
500,0.1,100,3.33e-05,3,167772.1599,0.0070321,0.013364,0.019589,0.025716,0.031755,0.037711,0.043593,0.049409,0.055165,0.060872,0.066544,0.072206,0.077836,0.083439,0.089022,0.094595,0.10017,0.10577,0.11141,0.11714,0.12299,0.12902,0.13515,0.14127,0.1473
1000,0.1,100,3.33e-05,4,778462.8223,0.0070839,0.013086,0.018758,0.029291,0.03422,0.038958,0.043528,0.047947,0.05223,0.060446,0.064404,0.068277,0.072078,0.075821,0.079528,0.085102,0.088761,0.094167,0.097717,0.10122,0.10468,0.112,0.11618,0.12026,0.12448
2000,0.1,100,3.33e-05,4,2415919.1039,0.021031,0.035146,0.041112,0.051576,0.060611,0.068499,0.075797,0.079204,0.088627,0.091594,0.097246,0.10257,0.10512,0.1101,0.11491,0.11951,0.12409,0.12633,0.13294,0.13731,0.13731,0.14159,0.14573,0.14974,0.15362
1500,0.1,100,3.33e-05,4,1315333.7343,0.012494,0.022422,0.031116,0.038757,0.04576,0.052265,0.058399,0.064238,0.069748,0.074973,0.079948,0.084806,0.087188,0.091834,0.096336,0.1007,0.10494,0.11124,0.11332,0.11945,0.1235,0.12747,0.13136,0.13516,0.13701
1,0.1,100,3.33e-05,4,295279.0015,0.0040059,0.0074931,0.011014,0.01457,0.01457,0.018163,0.021795,0.025469,0.029187,0.032952,0.036767,0.040638,0.040638,0.04457,0.048576,0.052685,0.056853,0.061129,0.063319,0.067845,0.072683,0.076549,0.082323,0.088175,0.095362
500,0.1,100,3.33e-05,4,332188.8767,0.0039516,0.0072779,0.0072779,0.01379,0.01379,0.020159,0.020159,0.026442,0.029549,0.032634,0.035704,0.038761,0.041813,0.04487,0.047948,0.051096,0.054252,0.057439,0.060681,0.064025,0.067626,0.070439,0.074502,0.079973,0.083279
1000,0.1,100,3.33e-05,5,1932735.2831,0.0040718,0.0073604,0.01346,0.019169,0.021921,0.027188,0.029714,0.034633,0.037033,0.039388,0.043974,0.046212,0.050595,0.052748,0.056997,0.059108,0.061225,0.065596,0.068911,0.072173,0.074426,0.078103,0.081797,0.086755,0.089153
1500,0.1,100,3.33e-05,5,5583457.4847,0.012688,0.022325,0.03056,0.037808,0.044271,0.050296,0.058488,0.063494,0.065881,0.072755,0.077092,0.081236,0.085208,0.089024,0.092696,0.098055,0.09981,0.10507,0.1085,0.11197,0.11547,0.11896,0.12243,0.12584,0.12919
