tau_sat,b,tau_0,gamma_0,n,g0_phi_1,g0_Phi,g0_phi_2,g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2,g5_phi_1,g5_Phi,g5_phi_2,g6_phi_1,g6_Phi,g6_phi_2,g7_phi_1,g7_Phi,g7_phi_2,g8_phi_1,g8_Phi,g8_phi_2,g9_phi_1,g9_Phi,g9_phi_2,g10_phi_1,g10_Phi,g10_phi_2,g11_phi_1,g11_Phi,g11_phi_2,g12_phi_1,g12_Phi,g12_phi_2,g13_phi_1,g13_Phi,g13_phi_2,g14_phi_1,g14_Phi,g14_phi_2,g15_phi_1,g15_Phi,g15_phi_2,g16_phi_1,g16_Phi,g16_phi_2,g17_phi_1,g17_Phi,g17_phi_2,g18_phi_1,g18_Phi,g18_phi_2,g19_phi_1,g19_Phi,g19_phi_2,g20_phi_1,g20_Phi,g20_phi_2,g21_phi_1,g21_Phi,g21_phi_2
100.0,0.5,100.0,3.333e-05,1.0,4.867,0.41105,0.82806,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.1661,1.3871,1.1574,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,6.2208,5.0931,1.3849,1.1478,5.3858,1.0224,3.5781,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,4.2751,0.976,2.0796,4.4562,1.1817,2.07,5.6158,0.46696,1.0269,5.3008,1.447,0.99786,3.8292,0.42919,1.9484,6.0875,0.91445,6.2379
100.0,0.5,100.0,3.333e-05,2.0,4.9832,0.35211,0.72445,5.2919,1.5042,1.0455,4.1441,0.55736,1.7333,5.1576,1.3706,1.1902,4.5481,0.49068,1.8019,4.364,0.51854,1.7392,5.5988,1.3763,1.0846,5.9885,0.28454,0.82538,5.6867,1.2157,0.62459,5.7063,0.63116,6.2394,5.0824,1.3789,1.1879,5.4663,0.98085,0.35896,6.2465,0.25516,0.44016,5.4672,1.296,1.2103,4.3371,0.40289,1.9182,5.6795,0.36828,0.80547,4.2468,0.94934,2.0229,4.4738,1.2099,1.9839,5.6395,0.43626,0.94399,5.298,1.4431,1.0682,3.7734,0.38954,2.0539,6.0419,0.91489,6.2384
100.0,0.5,100.0,3.333e-05,4.0,5.0209,0.29218,0.66779,5.2843,1.5086,1.0838,4.2299,0.56497,1.7232,5.1283,1.3418,1.2135,4.4786,0.51528,1.8336,4.4127,0.53817,1.7157,5.5976,1.3347,1.0879,6.1861,0.26508,0.64093,5.7382,1.2054,0.64264,5.6759,0.63198,6.2556,5.0569,1.3612,1.2082,5.524,0.92516,0.28663,0.098622,0.26031,0.32611,5.4766,1.2715,1.1957,4.3254,0.43444,1.9257,5.6622,0.36487,0.82166,4.2324,0.93418,1.9863,4.5056,1.2212,1.8961,5.6256,0.42124,0.92751,5.2745,1.4197,1.1093,3.7216,0.37478,2.1273,6.0124,0.91594,6.2434
100.0,0.5,100.0,3.333e-05,8.0,5.0288,0.272,0.65119,5.2774,1.4997,1.0912,4.2905,0.5793,1.6955,5.104,1.3187,1.2295,4.4142,0.53447,1.8847,4.4308,0.54389,1.7062,5.6057,1.3202,1.0867,6.2395,0.25993,0.59355,5.7534,1.2086,0.63544,5.6572,0.62863,6.2709,5.0411,1.3477,1.2197,5.5356,0.88774,0.26144,0.14327,0.26142,0.29208,5.4931,1.2641,1.1939,4.3028,0.44319,1.9523,5.6428,0.35766,0.83944,4.2239,0.9307,1.9917,4.5298,1.1935,1.8466,5.5972,0.4162,0.95037,5.2643,1.3973,1.1221,3.7306,0.36646,2.1183,6.0012,0.91752,6.2579
100.0,0.5,100.0,3.333e-05,16.0,5.024,0.2744,0.6549,5.2723,1.4826,1.0987,4.3068,0.57972,1.6821,5.0929,1.3011,1.2425,4.3914,0.53971,1.9117,4.4372,0.5449,1.7015,5.6158,1.319,1.0836,6.2413,0.25635,0.59518,5.7571,1.2121,0.62649,5.6398,0.62699,0.0043374,5.0294,1.3332,1.2323,5.5296,0.88875,0.27343,0.14123,0.25709,0.299,5.5057,1.2648,1.1943,4.301,0.44122,1.9588,5.6401,0.35267,0.84421,4.2156,0.93016,2.0015,4.5366,1.1696,1.8268,5.5883,0.41173,0.96014,5.2591,1.3727,1.1317,3.7307,0.35999,2.1129,5.9962,0.91923,6.2672
100.0,0.5,100.0,3.333e-05,32.0,4.8672,0.41088,0.82775,5.2974,1.4933,0.97128,4.1304,0.57245,1.6642,5.1661,1.3871,1.1575,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8534,0.33527,0.98218,5.6194,1.2572,0.61652,5.7375,0.62908,6.2208,5.093,1.385,1.1479,5.3858,1.0223,0.43635,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6885,0.37078,0.7965,4.2751,0.97589,2.0794,4.4562,1.1817,2.0699,5.6157,0.46704,1.0269,5.3008,1.447,0.99792,3.8291,0.42911,1.9485,6.0875,0.91445,6.2379
100.0,1.0,100.0,3.333e-05,1.0,4.867,0.41105,0.82806,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.1661,1.3871,1.1574,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,3.0792,5.0931,1.3849,1.1478,5.3858,1.0224,3.5781,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,4.2751,0.976,2.0796,4.4562,1.1817,2.07,5.6158,0.46696,1.0269,5.3008,1.447,0.99786,3.8292,0.42919,1.9484,6.0875,0.91445,6.2379
100.0,1.0,100.0,3.333e-05,2.0,4.983,0.35221,0.72452,5.2919,1.5042,1.0454,4.144,0.55736,1.7332,5.1576,1.3706,1.1901,4.5482,0.49075,1.802,4.364,0.51854,1.7393,5.5988,1.3763,1.0846,5.9883,0.28464,0.82564,5.6866,1.2157,0.62453,5.7063,0.63117,6.2394,5.0824,1.3789,1.1878,5.4662,0.98095,0.35906,6.2463,0.25519,0.44043,5.4672,1.296,1.2103,4.3373,0.40293,1.9181,5.6792,0.36835,0.80592,4.2468,0.94938,2.023,4.4737,1.2099,1.984,5.6393,0.43633,0.94431,5.298,1.4431,1.068,3.7735,0.38957,2.0538,6.0419,0.91489,6.2384
100.0,1.0,100.0,3.333e-05,4.0,5.021,0.29231,0.66762,5.2842,1.5085,1.0836,4.2297,0.56492,1.7232,5.1284,1.3419,1.2133,4.4788,0.51531,1.8337,4.4127,0.53821,1.7158,5.5976,1.3347,1.0879,6.1859,0.26519,0.6411,5.7382,1.2055,0.64248,5.6758,0.632,6.2557,5.0569,1.3614,1.2081,5.5238,0.92536,0.28683,0.098262,0.26037,0.32655,5.4766,1.2715,1.1957,4.3256,0.43445,1.9256,5.6618,0.36491,0.82224,4.2324,0.93418,1.9864,4.5055,1.2211,1.8964,5.6253,0.42133,0.92811,5.2745,1.4198,1.1091,3.7216,0.37479,2.1271,6.0124,0.91594,6.2434
100.0,1.0,100.0,3.333e-05,8.0,5.0291,0.27202,0.65086,5.2774,1.4997,1.091,4.2905,0.57922,1.6955,5.1042,1.319,1.2293,4.4142,0.53456,1.885,4.4309,0.54394,1.7062,5.6056,1.3201,1.0867,6.2397,0.26005,0.59328,5.7536,1.2086,0.6353,5.6572,0.62867,6.2709,5.0413,1.3479,1.2195,5.5355,0.88809,0.26162,0.14328,0.2616,0.29219,5.493,1.264,1.194,4.303,0.44317,1.9522,5.6423,0.35772,0.84009,4.224,0.93069,1.9918,4.5297,1.1935,1.8468,5.5968,0.41633,0.95099,5.2644,1.3975,1.1219,3.7305,0.36646,2.1184,6.0012,0.91752,6.2579
100.0,1.0,100.0,3.333e-05,16.0,5.024,0.2744,0.65484,5.2723,1.4827,1.0986,4.3071,0.57955,1.6821,5.0931,1.3014,1.2423,4.3913,0.53987,1.9121,4.4375,0.54493,1.7013,5.6157,1.319,1.0837,6.2415,0.25647,0.59499,5.7572,1.2122,0.6264,5.6397,0.62706,0.0044328,5.0296,1.3334,1.2322,5.5293,0.88891,0.27349,0.14123,0.25726,0.29911,5.5057,1.2647,1.1943,4.3012,0.44121,1.9587,5.6397,0.35274,0.84468,4.2156,0.93017,2.0015,4.5367,1.1697,1.8268,5.5881,0.41184,0.96055,5.2592,1.3729,1.1316,3.7305,0.35999,2.113,5.9963,0.91922,6.2671
100.0,1.0,100.0,3.333e-05,32.0,4.8672,0.41088,0.82775,5.2974,1.4933,0.97128,4.1304,0.57245,1.6642,5.1661,1.3871,1.1575,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8534,0.33527,0.98218,5.6194,1.2572,0.61652,5.7375,0.62908,6.2208,5.093,1.385,1.1479,5.3858,1.0223,0.43635,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6885,0.37078,0.7965,4.2751,0.97589,2.0794,4.4562,1.1817,2.0699,5.6157,0.46704,1.0269,5.3008,1.447,0.99792,3.8291,0.42911,1.9485,6.0875,0.91445,6.2379
100.0,2.0,100.0,3.333e-05,1.0,4.867,0.41105,0.82806,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.1661,1.3871,1.1574,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,6.2208,5.0931,1.3849,1.1478,5.3858,1.0224,0.43651,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,4.2751,0.976,2.0796,4.4562,1.1817,2.07,5.6158,0.46696,1.0269,5.3008,1.447,0.99786,3.8292,0.42919,1.9484,6.0875,0.91445,6.2379
100.0,2.0,100.0,3.333e-05,2.0,4.9829,0.3523,0.72465,5.2919,1.5042,1.0452,4.144,0.55736,1.7331,5.1576,1.3706,1.19,4.5482,0.49079,1.802,4.364,0.51855,1.7393,5.5988,1.3763,1.0845,5.9881,0.28471,0.82587,5.6865,1.2158,0.6245,5.7063,0.63117,6.2394,5.0824,1.3789,1.1877,5.466,0.98102,0.35917,6.2462,0.2552,0.44059,5.4672,1.296,1.2103,4.3374,0.40297,1.9181,5.679,0.3684,0.80615,4.2469,0.94942,2.023,4.4737,1.2098,1.9842,5.6392,0.4364,0.94451,5.298,1.4432,1.0679,3.7736,0.38964,2.0535,6.042,0.91488,6.2384
100.0,2.0,100.0,3.333e-05,4.0,5.0209,0.29245,0.66776,5.2843,1.5085,1.0834,4.2295,0.5648,1.7232,5.1285,1.3421,1.2132,4.4789,0.51532,1.8337,4.4127,0.53822,1.7157,5.5976,1.3348,1.0879,6.1857,0.26526,0.64128,5.7382,1.2055,0.64235,5.6757,0.63201,6.2557,5.0571,1.3615,1.2079,5.5237,0.92551,0.28704,0.098045,0.26039,0.32681,5.4766,1.2715,1.1957,4.3258,0.43442,1.9255,5.6617,0.36496,0.82247,4.2324,0.93419,1.9865,4.5054,1.2211,1.8966,5.6252,0.42142,0.92838,5.2746,1.42,1.1089,3.722,0.37483,2.1267,6.0126,0.91593,6.2434
100.0,2.0,100.0,3.333e-05,8.0,5.029,0.27204,0.65101,5.2775,1.4999,1.0909,4.2906,0.579,1.6955,5.1045,1.3192,1.2291,4.4141,0.53463,1.8852,4.4312,0.54393,1.7059,5.6055,1.3201,1.0867,6.24,0.26014,0.59294,5.7537,1.2087,0.63518,5.6571,0.62869,6.271,5.0415,1.348,1.2193,5.5353,0.88833,0.26183,0.14351,0.26174,0.29205,5.493,1.2639,1.194,4.3033,0.4431,1.952,5.6421,0.35778,0.84037,4.224,0.9307,1.9918,4.5297,1.1936,1.8469,5.5966,0.41645,0.95128,5.2646,1.3978,1.1217,3.7308,0.3665,2.118,6.0013,0.91751,6.2578
100.0,2.0,100.0,3.333e-05,16.0,5.0235,0.27443,0.65535,5.2725,1.4829,1.0985,4.3075,0.57919,1.6819,5.0935,1.3017,1.2421,4.3912,0.54003,1.9122,4.4381,0.54487,1.7007,5.6156,1.3189,1.0837,6.2418,0.25655,0.59467,5.7573,1.2123,0.62634,5.6395,0.62711,0.0045893,5.0298,1.3335,1.2321,5.5289,0.88887,0.27355,0.14159,0.25738,0.29886,5.5056,1.2646,1.1944,4.3015,0.44111,1.9583,5.6397,0.35282,0.84476,4.2158,0.93024,2.0015,4.5369,1.1698,1.8266,5.5881,0.41196,0.96063,5.2594,1.3732,1.1314,3.7307,0.36,2.1126,5.9964,0.9192,6.267
100.0,2.0,100.0,3.333e-05,32.0,4.8672,0.41088,0.82775,5.2974,1.4933,0.97128,4.1304,0.57245,1.6642,5.1661,1.3871,1.1575,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8534,0.33527,0.98218,5.6194,1.2572,0.61652,5.7375,0.62908,6.2208,5.093,1.385,1.1479,5.3858,1.0223,0.43635,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6885,0.37078,0.7965,4.2751,0.97589,2.0794,4.4562,1.1817,2.0699,5.6157,0.46704,1.0269,5.3008,1.447,0.99792,3.8291,0.42911,1.9485,6.0875,0.91445,6.2379
100.0,4.0,100.0,3.333e-05,1.0,4.867,0.41105,0.82806,5.2975,1.4932,0.97124,4.1303,0.57236,1.6642,5.1661,1.3871,1.1574,4.5769,0.48571,1.8087,4.3369,0.50299,1.7441,5.594,1.4059,1.0769,5.8529,0.33545,0.98262,5.6193,1.2573,0.61642,5.7375,0.62908,6.2208,5.0931,1.3849,1.1478,5.3858,1.0224,3.5781,6.1475,0.26086,0.52519,5.4625,1.316,1.2242,4.3153,0.36936,1.947,5.6886,0.37073,0.79642,4.2751,0.976,2.0796,4.4562,1.1817,2.07,5.6158,0.46696,1.0269,5.3008,1.447,0.99786,3.8292,0.42919,1.9484,6.0875,0.91445,6.2379
100.0,4.0,100.0,3.333e-05,2.0,4.9827,0.35233,0.72482,5.2919,1.5042,1.0451,4.144,0.55737,1.7331,5.1576,1.3706,1.1899,4.5482,0.49077,1.8019,4.364,0.51856,1.7392,5.5987,1.3763,1.0845,5.988,0.28472,0.82594,5.6865,1.2158,0.62452,5.7064,0.63116,6.2393,5.0824,1.3789,1.1876,5.466,0.98104,0.35925,6.2462,0.25519,0.44053,5.4672,1.296,1.2103,4.3373,0.40298,1.918,5.6792,0.36842,0.80596,4.247,0.94943,2.023,4.4737,1.2098,1.9842,5.6393,0.43644,0.94447,5.298,1.4432,1.0678,3.7738,0.38972,2.0533,6.0421,0.91487,6.2384
100.0,4.0,100.0,3.333e-05,4.0,5.0205,0.29253,0.66825,5.2844,1.5086,1.0833,4.2294,0.56462,1.7231,5.1287,1.3421,1.213,4.479,0.51528,1.8335,4.4127,0.53819,1.7155,5.5976,1.3348,1.0878,6.1855,0.26525,0.64139,5.7382,1.2055,0.64233,5.6758,0.63201,6.2557,5.0573,1.3615,1.2077,5.5237,0.92552,0.28719,0.098094,0.26034,0.32675,5.4766,1.2715,1.1956,4.3258,0.43436,1.9254,5.662,0.365,0.82209,4.2324,0.93422,1.9865,4.5054,1.2213,1.8967,5.6255,0.42147,0.92808,5.2748,1.4201,1.1088,3.7225,0.37491,2.1261,6.0127,0.9159,6.2433
100.0,4.0,100.0,3.333e-05,8.0,5.0284,0.27207,0.65174,5.2776,1.5,1.0907,4.2905,0.57863,1.6953,5.1049,1.3194,1.2289,4.4141,0.53466,1.8851,4.4315,0.54385,1.7054,5.6054,1.32,1.0867,6.2403,0.26014,0.59263,5.7539,1.2086,0.63512,5.6571,0.62868,6.271,5.0417,1.3481,1.2192,5.5351,0.88829,0.26196,0.14393,0.26178,0.29168,5.493,1.2638,1.1939,4.3034,0.44298,1.9517,5.6424,0.35782,0.84,4.2241,0.93076,1.9917,4.5299,1.1937,1.8468,5.5969,0.41651,0.95099,5.2648,1.398,1.1215,3.7313,0.36656,2.1173,6.0014,0.91749,6.2577
100.0,4.0,100.0,3.333e-05,16.0,5.0227,0.2745,0.6564,5.2727,1.4832,1.0983,4.3079,0.57868,1.6816,5.094,1.3018,1.2421,4.3912,0.54012,1.912,4.4388,0.54469,1.6998,5.6155,1.3188,1.0837,6.2423,0.25656,0.59428,5.7576,1.2122,0.6263,5.6394,0.6271,0.0047596,5.0301,1.3335,1.2321,5.5285,0.88851,0.27351,0.14224,0.25742,0.2983,5.5056,1.2645,1.1943,4.3018,0.44093,1.9578,5.6401,0.35288,0.84428,4.216,0.93037,2.0015,4.5373,1.1699,1.8261,5.5886,0.41205,0.96022,5.2598,1.3734,1.1313,3.7313,0.36002,2.1119,5.9967,0.91918,6.2668
