tau_sat,b,tau_0,gamma_0,n,g1_phi_1_start,g1_phi_1_end,g1_Phi_start,g1_Phi_end,g1_phi_2_start,g1_phi_2_end,g2_phi_1_start,g2_phi_1_end,g2_Phi_start,g2_Phi_end,g2_phi_2_start,g2_phi_2_end,g3_phi_1_start,g3_phi_1_end,g3_Phi_start,g3_Phi_end,g3_phi_2_start,g3_phi_2_end,g4_phi_1_start,g4_phi_1_end,g4_Phi_start,g4_Phi_end,g4_phi_2_start,g4_phi_2_end,g5_phi_1_start,g5_phi_1_end,g5_Phi_start,g5_Phi_end,g5_phi_2_start,g5_phi_2_end
50.0,0.1,50.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3001,1.8218,1.7632,5.9657,5.8069,2.053,2.0357,2.1276,2.0754,5.7467,5.7785,2.4155,2.4119,1.3144,1.3848,5.0433,4.9727,2.7234,2.6115,1.1961,1.1197,0.14859,0.23576,2.6323,2.6355,2.7999,2.9012
50.0,0.1,100.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3002,1.8218,1.7633,5.9657,5.8072,2.053,2.0357,2.1276,2.0755,5.7467,5.7789,2.4155,2.412,1.3144,1.3848,5.0433,4.9728,2.7234,2.6116,1.1961,1.1198,0.14859,0.23548,2.6323,2.6355,2.7999,2.901
50.0,0.1,200.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3003,1.8218,1.7635,5.9657,5.8078,2.053,2.0358,2.1276,2.0756,5.7467,5.7795,2.4155,2.4121,1.3144,1.3848,5.0433,4.9729,2.7234,2.612,1.1961,1.12,0.14859,0.23476,2.6323,2.6354,2.7999,2.9007
50.0,0.1,400.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3006,1.8218,1.7639,5.9657,5.8089,2.053,2.036,2.1276,2.076,5.7467,5.7808,2.4155,2.4123,1.3144,1.3847,5.0433,4.9733,2.7234,2.6127,1.1961,1.1205,0.14859,0.23329,2.6323,2.6354,2.7999,2.8999
50.0,0.1,800.0,3.333e-05,2.0,5.4619,5.4432,2.3446,2.3012,1.8218,1.7647,5.9657,5.8113,2.053,2.0363,2.1276,2.0766,5.7467,5.7834,2.4155,2.4129,1.3144,1.3844,5.0433,4.974,2.7234,2.6142,1.1961,1.1213,0.14859,0.23038,2.6323,2.6354,2.7999,2.8984
50.0,0.2,50.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3002,1.8218,1.7633,5.9657,5.8069,2.053,2.0357,2.1276,2.0755,5.7467,5.7786,2.4155,2.4119,1.3144,1.3848,5.0433,4.9727,2.7234,2.6115,1.1961,1.1198,0.14859,0.23562,2.6323,2.6355,2.7999,2.9011
50.0,0.2,100.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3002,1.8218,1.7633,5.9657,5.8072,2.053,2.0358,2.1276,2.0755,5.7467,5.7789,2.4155,2.412,1.3144,1.3848,5.0433,4.9728,2.7234,2.6117,1.1961,1.1199,0.14859,0.23538,2.6323,2.6355,2.7999,2.901
50.0,0.2,200.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3003,1.8218,1.7635,5.9657,5.8078,2.053,2.0358,2.1276,2.0757,5.7467,5.7796,2.4155,2.4121,1.3144,1.3848,5.0433,4.973,2.7234,2.612,1.1961,1.1201,0.14859,0.23469,2.6323,2.6354,2.7999,2.9006
50.0,0.2,400.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3006,1.8218,1.7639,5.9657,5.809,2.053,2.036,2.1276,2.076,5.7467,5.7809,2.4155,2.4124,1.3144,1.3847,5.0433,4.9733,2.7234,2.6128,1.1961,1.1205,0.14859,0.23324,2.6323,2.6354,2.7999,2.8999
50.0,0.2,800.0,3.333e-05,2.0,5.4619,5.4432,2.3446,2.3013,1.8218,1.7647,5.9657,5.8113,2.053,2.0364,2.1276,2.0766,5.7467,5.7834,2.4155,2.4129,1.3144,1.3844,5.0433,4.974,2.7234,2.6142,1.1961,1.1213,0.14859,0.23034,2.6323,2.6354,2.7999,2.8984
