tau_sat,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30
100.0,0.5,100.0,3.333e-05,1.0,0.3,-4.4066e-15,471.72,507.88,519.01,528.2,536.96,545.69,554.2,562.53,570.7,578.75,586.62,594.34,601.92,609.35,616.64,623.79,630.81,637.7,644.45,651.08,657.58,663.96,670.21,676.35,682.38,688.28,693.93,700.87,706.69
100.0,0.5,100.0,3.333e-05,2.0,0.3,-1.7626e-15,410.68,415.3,420.86,426.96,432.98,438.88,444.65,450.31,455.84,461.26,466.58,471.78,476.88,481.87,486.75,491.55,496.24,500.84,505.35,509.75,514.08,518.32,522.48,526.55,530.54,534.45,538.29,542.06,545.74
100.0,0.5,100.0,3.333e-05,4.0,0.3,6.6099e-16,364.59,363.21,367.19,371.99,376.77,381.47,386.1,390.66,395.14,399.55,403.9,408.19,412.4,416.56,420.66,424.71,428.7,432.64,436.52,440.36,444.14,447.88,451.58,455.22,458.82,462.39,465.9,469.37,472.81
100.0,0.5,100.0,3.333e-05,8.0,0.3,-6.6099e-16,335.35,333.41,337.02,341.48,345.94,350.37,354.74,359.08,363.37,367.61,371.82,375.97,380.07,384.13,388.16,392.15,396.1,400.0,403.87,407.69,411.47,415.22,418.92,422.58,426.21,429.78,433.33,436.84,440.31
100.0,0.5,100.0,3.333e-05,16.0,0.3,6.6099e-16,319.76,318.45,322.06,326.41,330.82,335.27,339.73,344.12,348.44,352.69,356.9,361.05,365.15,369.21,373.22,377.19,381.11,384.99,388.84,392.67,396.45,400.18,403.87,407.52,411.14,414.71,418.24,421.72,425.18
100.0,1.0,100.0,3.333e-05,1.0,0.3,-9.6945e-15,475.83,520.38,539.89,556.82,573.16,588.87,603.13,618.86,633.15,646.65,659.65,672.14,684.2,695.81,707.95,718.85,729.24,739.23,748.83,758.03,767.01,775.63,783.91,791.86,799.51,806.89,813.98,820.82,827.39
100.0,1.0,100.0,3.333e-05,2.0,0.3,-6.1692e-15,414.91,426.05,437.76,449.66,461.18,472.26,482.92,493.18,503.06,512.57,521.72,530.53,539.0,547.16,555.01,562.56,569.82,576.82,583.55,590.02,596.24,602.24,608.01,613.56,618.9,624.04,628.98,633.75,638.33
100.0,1.0,100.0,3.333e-05,4.0,0.3,1.983e-15,368.5,372.37,381.31,390.82,400.07,409.01,417.66,426.02,434.11,441.94,449.51,456.86,463.95,470.84,477.51,483.97,490.24,496.32,502.21,507.93,513.48,518.87,524.09,529.18,534.11,538.9,543.56,548.08,552.49
100.0,1.0,100.0,3.333e-05,8.0,0.3,1.5423e-15,339.02,341.76,349.8,358.48,366.96,375.21,383.24,391.04,398.63,406.01,413.19,420.17,426.96,433.58,440.01,446.29,452.4,458.34,464.13,469.77,475.26,480.61,485.81,490.89,495.82,500.64,505.32,509.88,514.34
100.0,1.0,100.0,3.333e-05,16.0,0.3,0.0,323.31,326.45,334.28,342.66,350.9,359.01,366.95,374.69,382.2,389.49,396.56,403.45,410.16,416.69,423.03,429.21,435.23,441.1,446.82,452.42,457.88,463.17,468.33,473.36,478.26,483.05,487.7,492.24,496.66
100.0,2.0,100.0,3.333e-05,1.0,0.3,-9.6945e-15,483.71,543.65,577.69,607.65,635.33,661.06,684.97,707.21,727.87,747.06,764.9,781.46,796.83,811.15,824.41,836.72,848.12,858.7,868.53,877.64,886.08,893.92,901.18,907.92,914.17,919.96,925.33,930.31,934.93
