tau_sat,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30
50.0,0.1,50.0,3.333e-05,2.0,0.5,-4.6269e-15,211.52,208.15,208.87,210.2,211.56,212.92,214.28,215.63,216.97,218.32,219.65,220.99,222.32,223.64,224.96,226.27,227.57,228.87,230.16,231.45,232.73,234.01,235.28,236.55,237.8,239.05,240.3,241.54,242.77
50.0,0.1,100.0,3.333e-05,2.0,0.5,-7.9319e-15,420.37,413.7,414.06,415.52,417.07,418.61,420.13,421.66,423.18,424.69,426.2,427.7,429.2,430.7,432.18,433.66,435.13,436.6,438.07,439.52,440.96,442.4,443.83,445.25,446.67,448.08,449.49,450.88,452.26
50.0,0.1,200.0,3.333e-05,2.0,0.5,3.5253e-15,822.57,823.62,824.25,826.05,827.93,829.82,831.68,833.56,835.42,837.28,839.13,840.98,842.82,844.65,846.47,848.29,850.1,851.9,853.69,855.47,857.24,859.01,860.76,862.5,864.24,865.96,867.68,869.37,871.07
50.0,0.1,400.0,3.333e-05,2.0,0.5,-3.349e-14,1507.5,1629.2,1642.4,1646.3,1649.0,1651.6,1654.2,1656.7,1659.3,1661.8,1664.3,1666.9,1669.4,1671.9,1674.4,1676.9,1679.3,1681.9,1684.3,1686.7,1689.1,1691.5,1693.9,1696.3,1698.6,1701.1,1703.4,1705.6,1708.0
50.0,0.1,800.0,3.333e-05,2.0,0.5,-1.2338e-14,2380.5,3039.2,3215.4,3265.9,3283.0,3290.9,3296.1,3300.4,3304.5,3308.4,3312.3,3316.2,3320.0,3323.9,3327.7,3331.5,3335.3,3339.1,3342.8,3346.5,3350.2,3353.9,3357.6,3361.2,3364.8,3368.3,3371.9,3375.5,3378.9
50.0,0.2,50.0,3.333e-05,2.0,0.5,-1.983e-15,212.59,210.41,212.29,214.77,217.26,219.73,222.19,224.61,227.01,229.39,231.75,234.09,236.4,238.7,240.97,243.22,245.45,247.66,249.85,252.02,254.16,256.28,258.38,260.47,262.52,264.56,266.58,268.58,270.56
50.0,0.2,100.0,3.333e-05,2.0,0.5,3.5253e-15,421.33,415.84,417.37,419.98,422.65,425.31,427.92,430.53,433.1,435.66,438.19,440.7,443.19,445.66,448.11,450.52,452.92,455.3,457.65,459.99,462.3,464.58,466.85,469.09,471.31,473.51,475.68,477.83,479.97
50.0,0.2,200.0,3.333e-05,2.0,0.5,-1.7626e-14,823.27,825.53,827.32,830.27,833.3,836.29,839.26,842.21,845.14,848.04,850.91,853.77,856.61,859.41,862.2,864.96,867.7,870.4,873.1,875.76,878.4,881.02,883.6,886.16,888.7,891.22,893.71,896.17,898.61
50.0,0.2,400.0,3.333e-05,2.0,0.5,-3.1728e-14,1507.8,1630.7,1645.1,1650.1,1654.0,1657.6,1661.3,1665.0,1668.6,1672.2,1675.7,1679.3,1682.8,1686.3,1689.7,1693.2,1696.6,1700.0,1703.3,1706.6,1709.9,1713.2,1716.5,1719.6,1722.8,1726.0,1729.1,1732.1,1735.2
50.0,0.2,800.0,3.333e-05,2.0,0.5,5.2879e-15,2380.6,3039.9,3217.1,3268.8,3287.0,3296.0,3302.3,3307.8,3312.8,3317.9,3322.8,3327.7,3332.6,3337.4,3342.2,3347.0,3351.7,3356.4,3361.0,3365.7,3370.3,3374.8,3379.3,3383.8,3388.3,3392.7,3397.0,3401.3,3405.5
50.0,0.4,50.0,3.333e-05,2.0,0.5,-1.5423e-15,214.72,214.85,218.95,223.58,228.14,232.63,237.0,241.3,245.5,249.62,253.65,257.6,261.47,265.26,268.97,272.6,276.16,279.65,283.06,286.4,289.67,292.87,296.01,299.09,302.09,305.04,307.92,310.74,313.51
50.0,0.4,100.0,3.333e-05,2.0,0.5,-3.0846e-15,423.21,420.05,423.81,428.58,433.34,437.99,442.55,447.03,451.42,455.71,459.93,464.05,468.1,472.06,475.95,479.76,483.5,487.15,490.74,494.25,497.69,501.07,504.37,507.61,510.78,513.88,516.93,519.91,522.83
50.0,0.4,200.0,3.333e-05,2.0,0.5,-6.1692e-15,824.69,829.27,833.31,838.43,843.56,848.57,853.5,858.34,863.07,867.74,872.3,876.79,881.19,885.51,889.75,893.91,897.99,902.0,905.93,909.78,913.56,917.27,920.91,924.48,927.98,931.41,934.77,938.08,941.3
