tau_s,b,tau_0,gamma_0,n,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50
1,0.1,100,3.33e-05,1,11.181961630512468,22.36337400166596,33.544786372819445,44.72619874397294,55.90761111512643,67.08902348627991,78.2704358574334,89.4518482285869,100.63326059974038,111.81467297089387,122.99608534204737,134.17749771320084,145.35891008435433,156.54032245550783,167.7217348266613,178.9031471978148,190.0845595689683,201.26597194012177,212.44738431127527,223.62879668242874,234.81020905358224,245.99162142473574,257.17303379588924,268.35444616704274,279.5358585381962,290.7172709093497,301.8986832805032,313.0800956516567,324.2615080228102,335.4429203939636,346.6243327651171,357.8057451362706,368.98715750742406,380.16856987857756,391.34998224973106,402.53139462088456,413.71280699203805,424.89421936319155,436.07563173434505,447.25704410549855,458.438456476652,469.6198688478055,480.801281218959,491.9826935901125,503.16410596126593,514.3455183324195,525.5269307035729,536.7083430747264,547.8897554458799,559.0711678170334
500,0.1,100,3.33e-05,1,8.619860368062298,17.20982567551021,25.79979098295812,34.38975629040602,42.97972159785393,51.569686905301836,60.15965221274975,68.74961752019766,77.33958282764556,85.92954813509346,94.51951344254138,103.10947874998928,111.69944405743719,120.2894093648851,128.879374672333,137.46933997978093,146.05930528722882,154.64927059467675,163.23923590212465,171.82920120957255,180.41916651702047,189.00913182446837,197.5990971319163,206.1890624393642,214.7790277468121,223.36899305426,231.95895836170791,240.5489236691558,249.1388889766037,257.72885428405164,266.3188195914995,274.90878489894743,283.49875020639536,292.0887155138433,300.67868082129115,309.2686461287391,317.858611436187,326.4485767436349,335.0385420510828,343.6285073585307,352.2184726659786,360.8084379734265,369.39840328087445,377.9883685883224,386.57833389577024,395.16829920321817,403.7582645106661,412.348229818114,420.9381951255619,429.5281604330098
1000,0.1,100,3.33e-05,1,5.91970965002668,11.780227317186759,17.64074498434684,23.50126265150692,29.361780318667,35.22229798582708,41.082815652987165,46.94333332014725,52.80385098730733,58.66436865446741,64.52488632162749,70.38540398878757,76.24592165594765,82.10643932310774,87.96695699026782,93.8274746574279,99.68799232458798,105.54850999174806,111.40902765890814,117.26954532606823,123.13006299322831,128.9905806603884,134.85109832754847,140.71161599470855,146.57213366186863,152.43265132902872,158.2931689961888,164.15368666334888,170.01420433050896,175.87472199766904,181.73523966482912,187.5957573319892,193.4562749991493,199.31679266630937,205.17731033346945,211.03782800062953,216.8983456677896,222.7588633349497,228.61938100210978,234.47989866926986,240.3404163364299,246.20093400359,252.06145167075007,257.9219693379101,263.7824870050702,269.6430046722303,275.5035223393904,281.36404000655045,287.2245576737105,293.08507534087056
1500,0.1,100,3.33e-05,1,4.851550983717073,9.642243999086011,14.432937014454946,19.223630029823887,24.014323045192825,28.805016060561762,33.5957090759307,38.38640209129964,43.177095106668574,47.96778812203751,52.75848113740645,57.54917415277539,62.33986716814433,67.13056018351327,71.92125319888221,76.71194621425116,81.5026392296201,86.29333224498903,91.08402526035796,95.8747182757269,100.66541129109584,105.45610430646477,110.24679732183371,115.03749033720266,119.8281833525716,124.61887636794054,129.40956938330947,134.20026239867843,138.99095541404736,143.7816484294163,148.57234144478525,153.36303446015418,158.1537274755231,162.94442049089204,167.735113506261,172.52580652162993,177.31649953699886,182.10719255236782,186.89788556773675,191.68857858310568,196.4792715984746,201.26996461384354,206.06065762921247,210.8513506445814,215.64204365995036,220.4327366753193,225.22342969068825,230.01412270605718,234.8048157214261,239.59550873679507
2000,0.1,100,3.33e-05,1,4.104772511466732,8.144164032047987,12.183555552629244,16.2229470732105,20.262338593791757,24.30173011437301,28.341121634954266,32.380513155535525,36.41990467611677,40.459296196698034,44.49868771727928,48.53807923786054,52.5774707584418,56.61686227902305,60.65625379960431,64.69564532018556,68.73503684076682,72.77442836134807,76.81381988192933,80.85321140251058,84.89260292309184,88.93199444367309,92.97138596425435,97.0107774848356,101.05016900541686,105.08956052599811,109.12895204657937,113.16834356716062,117.20773508774188,121.24712660832313,125.28651812890439,129.32590964948565,133.3653011700669,137.40469269064815,141.4440842112294,145.48347573181067,149.52286725239193,153.5622587729732,157.60165029355443,161.6410418141357,165.68043333471695,169.7198248552982,173.75921637587948,177.7986078964607,181.83799941704197,185.87739093762323,189.91678245820447,193.95617397878573,197.99556549936696,202.03495701994822
1500,0.1,100,3.33e-05,2,1.1164269316057243,2.175900904918099,3.2353748782304734,4.294848851542849,5.354322824855223,6.413796798167597,7.473270771479972,8.532744744792346,9.592218718104721,10.651692691417095,11.711166664729468,12.770640638041844,13.830114611354219,14.889588584666594,15.94906255797897,17.008536531291345,18.06801050460372,19.127484477916095,20.18695845122847,21.246432424540842,22.30590639785322,23.365380371165593,24.424854344477968,25.484328317790343,26.54380229110272,27.60327626441509,28.662750237727465,29.72222421103984,30.781698184352212,31.841172157664587,32.90064613097696,33.96012010428933,35.01959407760171,36.07906805091408,37.13854202422645,38.19801599753883,39.2574899708512,40.31696394416358,41.376437917475954,42.435911890788326,43.495385864100705,44.554859837413076,45.614333810725455,46.67380778403783,47.733281757350206,48.79275573066258,49.852229703974956,50.91170367728733,51.9711776505997,53.03065162391208
2000,0.1,100,3.33e-05,2,0.8708387836691323,1.675486252663988,2.4801337216588437,3.2847811906536992,4.089428659648555,4.894076128643411,5.698723597638265,6.503371066633122,7.308018535627976,8.112666004622833,8.91731347361769,9.721960942612544,10.5266084116074,11.331255880602257,12.135903349597111,12.940550818591968,13.745198287586824,14.549845756581679,15.354493225576535,16.15914069457139,16.963788163566246,17.7684356325611,18.573083101555955,19.377730570550813,20.182378039545668,20.987025508540523,21.791672977535377,22.596320446530235,23.40096791552509,24.205615384519945,25.010262853514803,25.814910322509657,26.619557791504512,27.424205260499367,28.228852729494225,29.03350019848908,29.838147667483934,30.64279513647879,31.447442605473647,32.2520900744685,33.056737543463356,33.861385012458214,34.66603248145307,35.47067995044792,36.27532741944278,37.07997488843764,37.8846223574325,38.68926982642735,39.49391729542221,40.298564764417065
1000,0.1,100,3.33e-05,2,1.6985122905953927,3.370230882593023,5.041949474590653,6.7136680665882835,8.385386658585913,10.057105250583543,11.728823842581175,13.400542434578805,15.072261026576435,16.743979618574066,18.415698210571698,20.087416802569326,21.759135394566957,23.430853986564586,25.102572578562217,26.77429117055985,28.446009762557477,30.11772835455511,31.78944694655274,33.46116553855037,35.132884130548,36.80460272254563,38.47632131454326,40.14803990654089,41.81975849853852,43.49147709053615,45.163195682533775,46.83491427453141,48.50663286652904,50.17835145852667,51.8500700505243,53.521788642521926,55.19350723451956,56.86522582651719,58.53694441851483,60.20866301051246,61.88038160251009,63.55210019450772,65.22381878650536,66.89553737850298,68.56725597050061,70.23897456249824,71.91069315449587,73.5824117464935,75.25413033849114,76.92584893048877,78.59756752248639,80.26928611448402,81.94100470648165,83.61272329847928
1,0.1,100,3.33e-05,2,2.767583384973994,5.534616684668628,8.301649984363262,11.068683284057897,13.83571658375253,16.602749883447167,19.3697831831418,22.136816482836434,24.90384978253107,27.670883082225703,30.43791638192034,33.20494968161498,35.97198298130961,38.73901628100425,41.506049580698885,44.27308288039352,47.040116180088155,49.80714947978279,52.574182779477425,55.34121607917206,58.10824937886669,60.87528267856133,63.64231597825596,66.40934927795058,69.17638257764521,71.94341587733985,74.71044917703448,77.47748247672911,80.24451577642375,83.01154907611838,85.77858237581302,88.54561567550766,91.3126489752023,94.07968227489692,96.84671557459157,99.6137488742862,102.38078217398083,105.14781547367546,107.9148487733701,110.68188207306473,113.44891537275936,116.215948672454,118.98298197214864,121.75001527184327,124.5170485715379,127.28408187123254,130.05111517092718,132.81814847062182,135.58518177031647,138.3522150700111
500,0.1,100,3.33e-05,2,2.3936082212266947,4.780947246885304,7.168286272543913,9.555625298202523,11.942964323861132,14.330303349519742,16.71764237517835,19.104981400836962,21.49232042649557,23.87965945215418,26.26699847781279,28.6543375034714,31.041676529130008,33.42901555478862,35.816354580447225,38.20369360610584,40.59103263176445,42.978371657423054,45.365710683081666,47.75304970874028,50.14038873439888,52.527727760057495,54.91506678571611,57.30240581137472,59.68974483703333,62.07708386269194,64.46442288835055,66.85176191400916,69.23910093966778,71.62643996532638,74.01377899098499,76.40111801664361,78.78845704230221,81.17579606796082,83.56313509361944,85.95047411927804,88.33781314493666,90.72515217059527,93.11249119625388,95.49983022191249,97.8871692475711,100.27450827322971,102.66184729888832,105.04918632454692,107.43652535020553,109.82386437586413,112.21120340152275,114.59854242718136,116.98588145283996,119.37322047849857
