D0,QD,FN0,QFN,T0,gamma,Nc,D,FN,realisation,temperature,stress,time_primary,strain_primary,time_secondary,strain_secondary,time_tertiary,strain_tertiary,time_failure,strain_failure
1.57E-07,91750,4356000000,81440,254,0.3711,0.0002991,2.24E-14,3648.262881,0,700,105,17391120.81,0.039767815,12783120.81,0.029521127,17391120.81,0.039767815,17391120.81,0.039767815
1.57E-07,91750,4356000000,65150,254,0.3711,0.0002991,2.24E-14,59928.81807,0,700,105,5583120.808,0.013703307,4431120.808,0.011047956,5583120.808,0.013703307,5583120.808,0.013703307
1.57E-07,91750,8711000000,81440,254,0.3711,0.0002991,2.24E-14,7295.688236,0,700,105,11775120.81,0.027449465,9615120.808,0.022555509,11775120.81,0.027449465,11775120.81,0.027449465
1.57E-07,91750,8711000000,65150,254,0.3711,0.0002991,2.24E-14,119843.8784,0,700,105,3855120.808,0.009821706,2991120.808,0.007805466,3855120.808,0.009821706,3855120.808,0.009821706
1.57E-07,91750,13070000000,97730,254,0.3711,0.0002991,2.24E-14,666.3835272,0,700,105,29487120.81,0.066713504,13503120.81,0.031093179,29487120.81,0.066713504,29487120.81,0.066713504
1.57E-07,91750,13070000000,81440,254,0.3711,0.0002991,2.24E-14,10946.46369,0,700,105,9327120.808,0.022039529,7599120.808,0.018102198,9327120.808,0.022039529,9327120.808,0.022039529
1.57E-07,91750,13070000000,65150,254,0.3711,0.0002991,2.24E-14,179813.9697,0,700,105,3135120.808,0.008196382,2415120.808,0.006499185,3135120.808,0.008196382,3135120.808,0.008196382
1.57E-07,73400,4356000000,97730,254,0.3711,0.0002991,5.25E-13,222.0938519,0,700,105,21567120.81,0.049043709,13071120.81,0.030155179,21567120.81,0.049043709,21567120.81,0.049043709
1.57E-07,73400,4356000000,81440,254,0.3711,0.0002991,5.25E-13,3648.262881,0,700,105,7023120.808,0.016943778,5583120.808,0.013630736,7023120.808,0.016943778,7023120.808,0.016943778
1.57E-07,110100,4356000000,65150,254,0.3711,0.0002991,9.58E-16,59928.81807,0,700,105,13359120.81,0.030913595,10911120.81,0.025405635,13359120.81,0.030913595,13359120.81,0.030913595
1.57E-07,73400,4356000000,65150,254,0.3711,0.0002991,5.25E-13,59928.81807,0,700,105,2559120.808,0.006985157,1695120.808,0.004856357,2559120.808,0.006985157,2559120.808,0.006985157
1.57E-07,73400,8711000000,97730,254,0.3711,0.0002991,5.25E-13,444.1367181,0,700,105,14655120.81,0.033793556,11487120.81,0.026684291,14655120.81,0.033793556,14655120.81,0.033793556
1.57E-07,73400,8711000000,81440,254,0.3711,0.0002991,5.25E-13,7295.688236,0,700,105,4863120.808,0.012136011,3711120.808,0.009436178,4863120.808,0.012136011,4863120.808,0.012136011
1.57E-07,73400,8711000000,65150,254,0.3711,0.0002991,5.25E-13,119843.8784,0,700,105,1839120.808,0.005310801,1263120.808,0.00386245,1839120.808,0.005310801,1839120.808,0.005310801
1.57E-07,73400,13070000000,97730,254,0.3711,0.0002991,5.25E-13,666.3835272,0,700,105,11631120.81,0.027124624,9471120.808,0.022247043,11631120.81,0.027124624,11631120.81,0.027124624
1.57E-07,73400,13070000000,81440,254,0.3711,0.0002991,5.25E-13,10946.46369,0,700,105,3855120.808,0.009832836,2847120.808,0.00748297,3855120.808,0.009832836,3855120.808,0.009832836
1.57E-07,73400,13070000000,65150,254,0.3711,0.0002991,5.25E-13,179813.9697,0,700,105,1551120.808,0.004662612,975120.8076,0.003189668,1551120.808,0.004662612,1551120.808,0.004662612
3.15E-07,110100,4356000000,81440,254,0.3711,0.0002991,1.92E-15,3648.262881,0,700,105,32367120.81,0.073225099,13503120.81,0.031090973,32367120.81,0.073225099,32367120.81,0.073225099
3.15E-07,110100,4356000000,65150,254,0.3711,0.0002991,1.92E-15,59928.81807,0,700,105,10191120.81,0.023931745,8607120.808,0.02033007,10191120.81,0.023931745,10191120.81,0.023931745
3.15E-07,110100,8711000000,81440,254,0.3711,0.0002991,1.92E-15,7295.688236,0,700,105,21855120.81,0.049632324,13359120.81,0.030779954,21855120.81,0.049632324,21855120.81,0.049632324
3.15E-07,110100,8711000000,65150,254,0.3711,0.0002991,1.92E-15,119843.8784,0,700,105,7023120.808,0.016969356,5871120.808,0.014265634,7023120.808,0.016969356,7023120.808,0.016969356
3.15E-07,110100,13070000000,81440,254,0.3711,0.0002991,1.92E-15,10946.46369,0,700,105,17247120.81,0.039458129,12927120.81,0.029835855,17247120.81,0.039458129,17247120.81,0.039458129
3.15E-07,110100,13070000000,65150,254,0.3711,0.0002991,1.92E-15,179813.9697,0,700,105,5583120.808,0.013725645,4431120.808,0.011046213,5583120.808,0.013725645,5583120.808,0.013725645
3.15E-07,91750,4356000000,81440,254,0.3711,0.0002991,4.48E-14,3648.262881,0,700,105,13215120.81,0.030605555,10767120.81,0.025094585,13215120.81,0.030605555,13215120.81,0.030605555
3.15E-07,91750,4356000000,65150,254,0.3711,0.0002991,4.48E-14,59928.81807,0,700,105,4287120.808,0.010793154,3279120.808,0.008456701,4287120.808,0.010793154,4287120.808,0.010793154
3.15E-07,91750,8711000000,97730,254,0.3711,0.0002991,4.48E-14,444.1367181,0,700,105,28047120.81,0.063452668,13503120.81,0.031094752,28047120.81,0.063452668,28047120.81,0.063452668
1.57E-07,110100,8711000000,81440,254,0.3711,0.0002991,9.58E-16,7295.688236,0,700,105,28623120.81,0.064758171,13503120.81,0.031092044,28623120.81,0.064758171,28623120.81,0.064758171
3.15E-07,91750,8711000000,81440,254,0.3711,0.0002991,4.48E-14,7295.688236,0,700,105,9039120.808,0.021443565,7311120.808,0.017466386,9039120.808,0.021443565,9039120.808,0.021443565
3.15E-07,91750,8711000000,65150,254,0.3711,0.0002991,4.48E-14,119843.8784,0,700,105,3135120.808,0.008274248,2271120.808,0.006171827,3135120.808,0.008274248,3135120.808,0.008274248
