VSH_TAU_0,VSH_TAU_SAT,VSH_B,AI_N,AI_GAMMA0,VIHR_S0,VIHR_R,VIHR_D,GPL_N,GPL_ETA,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25
100.0,1.0,0.1,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.52421807830229,400.58,435.17,461.4,480.66,491.1,500.29,504.7,505.25,502.83,499.0,491.76,485.09,474.99,463.99,452.49,440.83,429.28,418.03,407.15,394.14,384.2,372.34,363.29,352.5,342.25
100.0,1.0,0.1,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.39605054685361,310.01,311.18,311.69,311.58,311.04,309.69,308.46,306.12,304.26,300.99,298.47,294.17,289.18,283.53,277.24,270.37,260.18,251.54,238.27,219.08,199.74,174.87,151.52,129.83,111.77
100.0,1.0,0.1,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.093487588050898,274.68,278.12,279.36,279.36,279.47,279.47,279.37,279.37,279.14,278.81,278.81,278.44,278.44,277.89,277.89,277.25,277.25,276.48,275.63,275.63,274.33,274.33,272.79,272.79,271.19
100.0,1.0,0.1,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.080785754144887,260.89,266.32,266.32,267.47,267.47,267.43,267.43,267.03,267.03,266.54,266.54,265.86,265.86,265.01,265.01,263.93,263.93,262.49,262.49,262.49,260.64,260.64,257.97,257.97,255.36
100.0,1.0,0.1,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.067891226771012,254.83,258.95,259.94,260.98,260.98,260.98,260.79,260.79,260.21,260.21,260.21,259.36,259.36,259.36,258.26,258.26,256.77,256.77,256.77,254.92,254.92,252.15,252.15,248.84,248.84
100.0,1.0,1.0,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.52411195656234,400.65,435.35,461.75,481.21,494.67,501.27,505.94,506.7,504.53,500.89,493.86,487.32,477.38,466.49,455.06,443.45,431.92,420.66,409.77,396.73,386.76,374.86,365.78,354.94,344.64
100.0,1.0,1.0,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.39704503507514,310.12,311.38,311.99,312.02,311.58,310.37,309.21,307.01,305.24,302.09,299.65,295.44,290.55,284.99,278.84,272.14,262.13,253.63,240.48,221.49,202.17,177.12,153.5,131.43,113.04
100.0,1.0,1.0,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.093488316715346,274.69,278.15,279.44,279.44,279.6,279.6,279.56,279.56,279.45,279.15,279.15,278.77,278.77,278.3,278.3,277.71,277.71,277.02,276.23,276.23,275.07,275.07,273.68,273.68,272.11
100.0,1.0,1.0,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.12468502383971,265.34,266.36,267.56,267.58,267.24,267.24,266.74,266.04,265.04,265.04,263.93,261.64,259.79,259.79,258.11,256.01,253.45,250.36,250.36,246.71,242.88,238.58,233.98,229.18,223.9
100.0,1.0,1.0,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.06147329390924,251.22,258.98,259.98,259.98,261.08,261.08,260.86,260.86,260.86,260.39,260.39,260.39,259.53,259.53,259.53,258.46,258.46,258.46,257.07,257.07,254.93,254.93,254.93,252.14,252.14
100.0,1.0,10.0,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.52388139964932,401.13,436.4,463.3,483.16,496.9,503.65,508.43,509.21,507.01,503.31,496.16,489.5,479.4,468.34,456.74,444.97,433.3,421.92,410.92,397.76,387.7,375.71,366.55,355.64,345.27
100.0,1.0,10.0,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.39605171753937,310.96,312.67,313.58,313.89,313.54,312.38,311.22,308.96,307.13,303.89,301.37,297.04,292.01,286.3,279.97,273.05,262.77,254.04,240.57,221.16,201.61,176.45,152.86,130.87,112.59
100.0,1.0,10.0,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.093391552079376,274.83,278.45,280.11,280.11,280.55,280.55,280.74,280.74,280.81,280.65,280.65,280.39,280.39,280.01,280.01,279.55,279.55,278.83,278.0,278.0,276.95,276.95,275.6,275.6,273.79
100.0,1.0,10.0,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.18005346636084,266.69,268.28,268.51,268.42,268.08,267.65,266.83,265.91,262.28,260.0,257.93,255.34,252.32,248.64,240.43,235.82,230.78,219.73,205.71,187.73,171.39,157.07,138.95,121.3,107.11
100.0,1.0,10.0,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.06787241388528,254.96,259.24,260.34,261.84,261.84,261.84,261.91,261.91,261.69,261.69,261.69,261.02,261.02,260.23,260.23,260.23,258.91,258.91,257.22,257.22,257.22,254.65,254.65,251.44,251.44
100.0,500.0,0.1,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.51378103712164,404.12,445.36,480.87,511.84,538.99,562.81,578.69,597.44,613.62,624.16,636.21,646.1,652.19,658.62,663.26,666.25,667.74,667.9,666.87,664.83,661.06,657.25,651.71,646.81,640.3
100.0,500.0,0.1,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.50897454497287,316.16,325.52,336.87,344.74,352.16,359.16,367.93,374.11,381.84,387.28,394.08,398.86,404.79,410.24,415.22,419.74,423.79,428.2,431.21,434.3,436.21,437.88,438.7,438.29,436.29
100.0,500.0,0.1,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.43664737529103,286.9,292.39,300.2,307.7,312.5,319.47,326.07,332.36,338.27,343.9,349.18,354.1,358.64,362.76,367.56,370.59,373.74,375.72,376.23,374.88,369.95,358.91,341.07,319.53,294.86
100.0,500.0,0.1,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.39250059203417,272.56,281.07,286.39,291.52,298.81,303.41,310.2,314.42,320.49,324.31,329.7,334.66,339.21,343.28,346.79,349.58,351.5,352.13,349.89,344.4,331.07,314.81,293.63,271.85,251.81
