tau_sat,b,tau_0,gamma_0,n,g1_phi_1_start,g1_phi_1_end,g1_Phi_start,g1_Phi_end,g1_phi_2_start,g1_phi_2_end,g2_phi_1_start,g2_phi_1_end,g2_Phi_start,g2_Phi_end,g2_phi_2_start,g2_phi_2_end,g3_phi_1_start,g3_phi_1_end,g3_Phi_start,g3_Phi_end,g3_phi_2_start,g3_phi_2_end,g4_phi_1_start,g4_phi_1_end,g4_Phi_start,g4_Phi_end,g4_phi_2_start,g4_phi_2_end,g5_phi_1_start,g5_phi_1_end,g5_Phi_start,g5_Phi_end,g5_phi_2_start,g5_phi_2_end
50.0,0.1,50.0,3.333e-05,2.0,2.1426,2.285,0.42224,0.30025,4.7628,4.6056,2.1477,2.0459,1.4843,1.5146,4.1844,4.2002,1.3936,1.3045,0.60379,0.60763,5.4026,5.3506,1.946,1.9089,1.3867,1.3506,4.3201,4.3486,0.98907,0.96918,0.5772,0.57049,5.1487,5.2484
50.0,0.1,100.0,3.333e-05,2.0,2.1426,2.2848,0.42224,0.30034,4.7628,4.6058,2.1477,2.046,1.4843,1.5146,4.1844,4.2002,1.3936,1.3046,0.60379,0.60757,5.4026,5.3506,1.946,1.909,1.3867,1.3507,4.3201,4.3485,0.98907,0.96924,0.5772,0.57047,5.1487,5.2484
50.0,0.1,200.0,3.333e-05,2.0,2.1426,2.2845,0.42224,0.30053,4.7628,4.606,2.1477,2.0462,1.4843,1.5146,4.1844,4.2001,1.3936,1.3047,0.60379,0.60746,5.4026,5.3508,1.946,1.9092,1.3867,1.3508,4.3201,4.3484,0.98907,0.96935,0.5772,0.57048,5.1487,5.2481
50.0,0.1,400.0,3.333e-05,2.0,2.1426,2.2841,0.42224,0.30092,4.7628,4.6064,2.1477,2.0467,1.4843,1.5146,4.1844,4.2,1.3936,1.3048,0.60379,0.60724,5.4026,5.3512,1.946,1.9095,1.3867,1.351,4.3201,4.3481,0.98907,0.96959,0.5772,0.57055,5.1487,5.2475
50.0,0.1,800.0,3.333e-05,2.0,2.1426,2.2833,0.42224,0.3017,4.7628,4.6072,2.1477,2.0475,1.4843,1.5145,4.1844,4.1999,1.3936,1.305,0.60379,0.60683,5.4026,5.3518,1.946,1.9102,1.3867,1.3515,4.3201,4.3476,0.98907,0.97006,0.5772,0.5707,5.1487,5.2462
50.0,0.2,50.0,3.333e-05,2.0,2.1426,2.2852,0.42224,0.30026,4.7628,4.6055,2.1477,2.0458,1.4843,1.5145,4.1844,4.2003,1.3936,1.3045,0.60379,0.60762,5.4026,5.3506,1.946,1.9089,1.3867,1.3507,4.3201,4.3486,0.98907,0.96918,0.5772,0.57055,5.1487,5.2483
50.0,0.2,100.0,3.333e-05,2.0,2.1426,2.2849,0.42224,0.30035,4.7628,4.6057,2.1477,2.046,1.4843,1.5146,4.1844,4.2002,1.3936,1.3046,0.60379,0.60756,5.4026,5.3506,1.946,1.909,1.3867,1.3507,4.3201,4.3485,0.98907,0.96924,0.5772,0.5705,5.1487,5.2483
50.0,0.2,200.0,3.333e-05,2.0,2.1426,2.2845,0.42224,0.30055,4.7628,4.606,2.1477,2.0462,1.4843,1.5146,4.1844,4.2001,1.3936,1.3047,0.60379,0.60745,5.4026,5.3508,1.946,1.9092,1.3867,1.3508,4.3201,4.3484,0.98907,0.96936,0.5772,0.57051,5.1487,5.248
50.0,0.2,400.0,3.333e-05,2.0,2.1426,2.2841,0.42224,0.30093,4.7628,4.6064,2.1477,2.0467,1.4843,1.5145,4.1844,4.2,1.3936,1.3048,0.60379,0.60724,5.4026,5.3512,1.946,1.9095,1.3867,1.351,4.3201,4.3481,0.98907,0.96959,0.5772,0.57056,5.1487,5.2474
50.0,0.2,800.0,3.333e-05,2.0,2.1426,2.2833,0.42224,0.30171,4.7628,4.6072,2.1477,2.0475,1.4843,1.5145,4.1844,4.1999,1.3936,1.305,0.60379,0.60682,5.4026,5.3519,1.946,1.9102,1.3867,1.3515,4.3201,4.3476,0.98907,0.97006,0.5772,0.57071,5.1487,5.2462
50.0,0.4,50.0,3.333e-05,2.0,2.1426,2.2854,0.42224,0.30028,4.7628,4.6054,2.1477,2.0458,1.4843,1.5144,4.1844,4.2004,1.3936,1.3045,0.60379,0.60762,5.4026,5.3506,1.946,1.9089,1.3867,1.3507,4.3201,4.3487,0.98907,0.96917,0.5772,0.57061,5.1487,5.2482
50.0,0.4,100.0,3.333e-05,2.0,2.1426,2.285,0.42224,0.30037,4.7628,4.6057,2.1477,2.046,1.4843,1.5145,4.1844,4.2003,1.3936,1.3046,0.60379,0.60756,5.4026,5.3507,1.946,1.909,1.3867,1.3507,4.3201,4.3485,0.98907,0.96924,0.5772,0.57055,5.1487,5.2482
50.0,0.4,200.0,3.333e-05,2.0,2.1426,2.2846,0.42224,0.30057,4.7628,4.606,2.1477,2.0462,1.4843,1.5145,4.1844,4.2002,1.3936,1.3047,0.60379,0.60745,5.4026,5.3508,1.946,1.9092,1.3867,1.3508,4.3201,4.3484,0.98907,0.96937,0.5772,0.57053,5.1487,5.248
50.0,0.4,400.0,3.333e-05,2.0,2.1426,2.2841,0.42224,0.30095,4.7628,4.6064,2.1477,2.0467,1.4843,1.5145,4.1844,4.2001,1.3936,1.3048,0.60379,0.60723,5.4026,5.3512,1.946,1.9096,1.3867,1.351,4.3201,4.3481,0.98907,0.9696,0.5772,0.57058,5.1487,5.2474
