tau_sat,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30
50.0,0.1,50.0,3.333e-05,2.0,0.5,-1.1016e-16,106.52,104.49,104.55,104.93,105.31,105.7,106.09,106.46,106.84,107.21,107.59,107.96,108.33,108.7,109.06,109.43,109.8,110.16,110.53,110.89,111.26,111.63,111.99,112.36,112.73,113.09,113.47,113.84,114.21
50.0,0.1,100.0,3.333e-05,2.0,0.5,-4.6269e-15,212.38,207.78,207.33,207.49,207.68,207.88,208.08,208.28,208.48,208.68,208.88,209.07,209.28,209.49,209.69,209.91,210.12,210.34,210.57,210.8,211.03,211.27,211.51,211.77,212.01,212.28,212.55,212.82,213.1
50.0,0.1,200.0,3.333e-05,2.0,0.5,-8.8132e-16,422.78,414.32,412.94,412.68,412.5,412.31,412.14,411.97,411.81,411.65,411.5,411.36,411.24,411.12,411.01,410.91,410.83,410.76,410.7,410.65,410.63,410.61,410.6,410.61,410.64,410.68,410.74,410.81,410.9
50.0,0.1,400.0,3.333e-05,2.0,0.5,-9.6945e-15,828.02,826.65,824.4,823.35,822.4,821.46,820.53,819.62,818.74,817.86,817.02,816.19,815.38,814.61,813.86,813.14,812.45,811.79,811.16,810.55,809.98,809.45,808.94,808.48,808.03,807.64,807.27,806.94,806.63
50.0,0.1,800.0,3.333e-05,2.0,0.5,-3.5253e-15,1517.4,1638.1,1646.9,1645.6,1643.3,1640.8,1638.4,1636.0,1633.6,1631.3,1629.0,1626.8,1624.6,1622.5,1620.5,1618.4,1616.6,1614.7,1612.8,1611.1,1609.4,1607.9,1606.3,1604.9,1603.4,1602.1,1600.9,1599.7,1598.6
50.0,0.2,50.0,3.333e-05,2.0,0.5,-2.9745e-15,107.09,105.65,106.29,107.22,108.17,109.08,110.0,110.88,111.76,112.63,113.48,114.32,115.15,115.96,116.77,117.56,118.35,119.13,119.88,120.64,121.39,122.13,122.87,123.59,124.31,125.03,125.74,126.43,127.13
50.0,0.2,100.0,3.333e-05,2.0,0.5,-1.322e-15,212.92,208.92,209.03,209.75,210.51,211.25,211.97,212.67,213.38,214.07,214.75,215.41,216.08,216.73,217.38,218.02,218.66,219.28,219.91,220.53,221.14,221.77,222.38,222.98,223.59,224.19,224.79,225.4,226.0
50.0,0.2,200.0,3.333e-05,2.0,0.5,-8.8132e-16,423.26,415.39,414.59,414.89,415.26,415.62,415.97,416.32,416.66,417.0,417.33,417.66,417.99,418.33,418.65,418.99,419.32,419.66,420.0,420.35,420.7,421.07,421.43,421.8,422.18,422.56,422.96,423.37,423.77
50.0,0.2,400.0,3.333e-05,2.0,0.5,-1.2338e-14,828.39,827.6,825.94,825.46,825.05,824.66,824.26,823.87,823.49,823.11,822.75,822.39,822.05,821.72,821.42,821.13,820.86,820.62,820.38,820.18,820.0,819.84,819.7,819.6,819.52,819.45,819.42,819.42,819.45
50.0,0.2,800.0,3.333e-05,2.0,0.5,-8.8132e-15,1517.6,1638.7,1648.2,1647.5,1645.7,1643.8,1641.9,1640.0,1638.2,1636.4,1634.5,1632.8,1631.1,1629.5,1627.8,1626.3,1624.7,1623.4,1621.9,1620.6,1619.3,1618.0,1616.9,1615.9,1614.8,1613.8,1612.9,1612.1,1611.3
