param_name,out_u_bound,out_l_bound,in_u_bound,in_l_bound,base
tau_s,1,0,3.301029995663981,0.0,10
b,1,0,2.0,-0.9999999999999998,10
tau_0,1,0,2.6989700043360183,2.0,10
gamma_0,1,0,-4.47755576649368,-4.47755576649368,10
n,1,0,0.6989700043360187,0.0,10
y_1,1,0,1.0485179976986065,-3.2779209109433602,10
y_2,1,0,1.3495373269318687,-3.263649961688897,10
y_3,1,0,1.525625030452427,-3.249833075893667,10
y_4,1,0,1.6505619892822494,-3.238129052326842,10
y_5,1,0,1.7474709356197262,-3.2290006160175686,10
y_6,1,0,1.826651470552176,-3.2220183645353235,10
y_7,1,0,1.8935977522426655,-3.215146594411409,10
y_8,1,0,1.9515893182648694,-3.2083818637067023,10
y_9,1,0,2.0027415444133108,-3.201720888863515,10
y_10,1,0,2.048498797934689,-3.196076510510889,10
y_11,1,0,2.0898912891515744,-3.1915874696693898,10
y_12,1,0,2.127679688423125,-3.1871443550361414,10
y_13,1,0,2.162441657928725,-3.18274623640168,10
y_14,1,0,2.194626224082711,-3.178392211534742,10
y_15,1,0,2.2245893458717014,-3.1740814050713775,10
y_16,1,0,2.2526179805820297,-3.16981296745866,10
y_17,1,0,2.2789468408720857,-3.165586073949804,10
y_18,1,0,2.3037703548795117,-3.161399923647708,10
y_19,1,0,2.3272513883501147,-3.1572537385941657,10
y_20,1,0,2.349527726920231,-3.154213170428267,10
y_21,1,0,2.370716975195892,-3.1512970144063406,10
y_22,1,0,2.3909203151075586,-3.14840030895751,10
y_23,1,0,2.410225428141679,-3.145522796331858,10
y_24,1,0,2.428708795187861,-3.142664223869136,10
y_25,1,0,2.4464375265922853,-3.1398243438656346,10
y_26,1,0,2.4634708330701325,-3.1370029134453787,10
y_27,1,0,2.479861218868547,-3.134199694435483,10
y_28,1,0,2.4956554578327195,-3.131414453245499,10
y_29,1,0,2.5108953981165367,-3.1286469607506104,10
y_30,1,0,2.52561863041585,-3.1258969921785256,10
y_31,1,0,2.5398590465910913,-3.1231643269999276,10
y_32,1,0,2.5536473095710654,-3.1204487488223513,10
y_33,1,0,2.5670112509267597,-3.117762957622445,10
y_34,1,0,2.5799762090772096,-3.1156549536747717,10
y_35,1,0,2.5925653184578206,-3.113557132275154,10
y_36,1,0,2.6047997579433897,-3.111469395524295,10
y_37,1,0,2.616698965226867,-3.1093916469280125,10
y_38,1,0,2.628280822603411,-3.107323791370479,10
y_39,1,0,2.6395618186179446,-3.1052657350880932,10
y_40,1,0,2.65055718924401,-3.10321738564397,10
y_41,1,0,2.6612810416274773,-3.101178651903025,10
y_42,1,0,2.6717464629167793,-3.0991494440076472,10
y_43,1,0,2.681965616285828,-3.097129673353934,10
y_44,1,0,2.69194982591673,-3.0951192525684745,10
y_45,1,0,2.7017096524313287,-3.093118095485671,10
y_46,1,0,2.71125496003146,-3.09112611712558,10
y_47,1,0,2.7205949764180617,-3.0891561326032835,10
y_48,1,0,2.7297383464015375,-3.087278413380068,10
y_49,1,0,2.7386931799840446,-3.08540877774154,10
y_50,1,0,2.7474670955839473,-3.0835471563862433,10
